User;Connection Date
t;2018:02:15:10:07:15
t;2018:02:15:10:07:14
t;2018:02:15:10:06:12
t;2018:02:15:10:06:11
t;2018:02:15:10:05:03
t;2018:02:15:10:05:02
t;2018:02:15:10:05:02
t;2018:02:15:10:02:29
t;2018:02:15:10:02:29
t;2018:02:15:10:02:27
t;2018:02:15:10:02:26
t;2018:02:15:10:02:25
t;2018:02:15:10:01:43
t;2018:02:15:10:01:40
t;2018:02:15:10:01:39
t;2018:02:15:10:01:38
t;2018:02:15:10:00:20
t;2018:02:15:10:00:17
t;2018:02:15:10:00:16
t;2018:02:15:10:00:13
t;2018:02:15:10:00:11
t;2018:02:15:10:00:08
t;2018:02:15:09:48:43
t;2018:02:15:09:48:39
t;2018:02:15:09:48:38
t;2018:02:15:09:48:38
t;2018:02:15:09:47:13
t;2018:02:15:09:47:06
t;2018:02:15:09:47:02
t;2018:02:15:09:47:02
t;2018:02:15:09:47:01
t;2018:02:15:09:46:58
t;2018:02:15:09:42:26
t;2018:02:15:09:42:25
t;2018:02:15:09:42:22
t;2018:02:15:09:42:21
t;2018:02:15:09:42:21
t;2018:02:15:09:42:05
t;2018:02:15:09:42:04
t;2018:02:15:09:41:54
t;2018:02:15:09:41:54
t;2018:02:15:09:41:51
t;2018:02:15:09:41:51
t;2018:02:15:09:41:47
t;2018:02:15:09:41:46
t;2018:02:15:09:41:46
t;2018:02:15:09:40:59
t;2018:02:15:09:40:58
t;2018:02:15:09:40:58
t;2018:02:15:09:40:06
t;2018:02:15:09:40:06
t;2018:02:15:09:40:05
t;2018:02:15:09:39:54
t;2018:02:15:09:39:53
t;2018:02:15:09:39:03
t;2018:02:15:09:39:03
t;2018:02:15:09:39:02
t;2018:02:15:09:38:43
t;2018:02:15:09:38:42
t;2018:02:15:09:38:42
t;2018:02:15:09:38:41
t;2018:02:15:09:35:57
t;2018:02:15:09:35:57
t;2018:02:15:09:35:56
t;2018:02:09:12:21:15
t;2018:02:09:12:21:06
t;2018:02:09:12:21:05
t;2018:02:09:12:21:05
undefined;2018:02:09:12:17:11
undefined;2018:02:09:12:17:11
undefined;2018:02:09:12:17:06
undefined;2018:02:09:12:17:00
undefined;2018:02:09:12:16:59
undefined;2018:02:09:12:16:58
undefined;2018:02:09:12:16:54
undefined;2018:02:09:12:15:40
undefined;2018:02:09:12:15:12
undefined;2018:02:09:12:13:39
undefined;2018:02:09:12:13:38
undefined;2018:02:09:12:13:37
undefined;2018:02:09:12:13:36
undefined;2018:02:09:12:13:35
undefined;2018:02:09:12:13:34
undefined;2018:02:09:12:12:52
undefined;2018:02:09:12:12:41
undefined;2018:02:09:12:12:40
undefined;2018:02:09:12:12:39
